sfc.mg: 5 mx2.mail.ovh.net.
next.mg: 10 custmx.cscdns.net.
saltwater.mg: 5 mx1.hostinger.com.
saltwater.mg: 10 mx2.hostinger.com.
hvac.mg: 10 mail.hvac.mg.
liquimoly.mg: 100 mail13.is-fun.net.
play.mg: 10 mail.freeit.org.
swiss.mg: 10 alt4.aspmx.l.google.com.
swiss.mg: 5 alt2.aspmx.l.google.com.
swiss.mg: 5 alt1.aspmx.l.google.com.
swiss.mg: 10 alt3.aspmx.l.google.com.
swiss.mg: 15 tz6kwjtug7v5jv57sjmyl2ighkhnaex7d464cvn43mnpp2xygc7a.mx-verification.google.com.
swiss.mg: 1 aspmx.l.google.com.
beyonce.mg: 10 custmx.cscdns.net.
quechua.mg: 50 fb.mail.gandi.net.
quechua.mg: 10 spool.mail.gandi.net.
magicbox.mg: 20 mx3-hosting.jellyfish.systems.
magicbox.mg: 10 mx2-hosting.jellyfish.systems.
magicbox.mg: 5 mx1-hosting.jellyfish.systems.
byd.mg: 0 .
coms.mg: 10 mx2-hosting.jellyfish.systems.
coms.mg: 5 mx1-hosting.jellyfish.systems.
coms.mg: 20 mx3-hosting.jellyfish.systems.
enhance.mg: 5 alt1.aspmx.l.google.com.
enhance.mg: 10 alt4.aspmx.l.google.com.
enhance.mg: 10 alt3.aspmx.l.google.com.
enhance.mg: 5 alt2.aspmx.l.google.com.
enhance.mg: 1 aspmx.l.google.com.
blue.mg: 20 mx3.tambazotra.net.
blue.mg: 5 mx1.tambazotra.net.
blue.mg: 5 mx2.tambazotra.net.
detran.mg: 5 mx1.hostinger.com.
detran.mg: 10 mx2.hostinger.com.
magellan.mg: 0 mail.magellan.mg.
bred.mg: 0 bred-mg.mail.protection.outlook.com.
prolink.mg: 0 mail.prolink.mg.
alterra.mg: 0 alterra-mg.mail.protection.outlook.com.
nexta.mg: 0 nexta-mg.mail.protection.outlook.com.
rgm.mg: 0 rgm-mg.mail.protection.outlook.com.
etam.mg: 10 spool.mail.gandi.net.
etam.mg: 50 fb.mail.gandi.net.
sos.mg: 1 mx1.mail.ovh.net.
sos.mg: 5 mx2.mail.ovh.net.
sos.mg: 100 mx3.mail.ovh.net.
harry.mg: 10 mx01.mail.icloud.com.
harry.mg: 10 mx02.mail.icloud.com.
mgi.mg: 0 mgi-mg.mail.protection.outlook.com.
emm.mg: 0 emm-mg.mail.protection.outlook.com.
soprema.mg: 5 mx2.hc611-40.c3s2.iphmx.com.
soprema.mg: 5 mx1.hc611-40.c3s2.iphmx.com.
nivo.mg: 20 aspmx3.googlemail.com.
nivo.mg: 15 aspmx2.googlemail.com.
nivo.mg: 5 alt1.aspmx.l.google.com.
nivo.mg: 1 aspmx.l.google.com.
