nft.sx: 0 mail.nft.sx.
mtr.sx: 10 mx01.mail.icloud.com.
mtr.sx: 10 mx02.mail.icloud.com.
ray.sx: 10 mx.yandex.net.
tms.sx: 94 route3.mx.cloudflare.net.
tms.sx: 94 route2.mx.cloudflare.net.
tms.sx: 50 route1.mx.cloudflare.net.
ip.sx: 1 mail.ip.sx.
marketplace.sx: 10 mx1.netim.net.
marketplace.sx: 10 mx2.netim.net.
feelgood.sx: 10 mail.feelgood.sx.
porsche.sx: 0 .
pup.sx: 10 ux.pup.sx.
bmw.sx: 10 custmx.cscdns.net.
target.sx: 0 .
answer.sx: 10 MAIL.101DOMAIN.COM.
sign.sx: 0 mail.sign.sx.
smith.sx: 0 smith-sx.mail.protection.outlook.com.
linkedin.sx: 0 .
dex.sx: 0 dex-sx.mail.protection.outlook.com.
dex.sx: 10 168785a0e671469089c40b7bf94ece.pamx1.hotmail.com.
1337.sx: 0 1337-sx.mail.protection.outlook.com.
jan.sx: 22 mail.jan.sx.
kyle.sx: 5 alt2.aspmx.l.google.com.
kyle.sx: 5 alt1.aspmx.l.google.com.
kyle.sx: 10 aspmx2.googlemail.com.
kyle.sx: 10 aspmx3.googlemail.com.
kyle.sx: 1 aspmx.l.google.com.
starlink.sx: 10 mx001.dclux.xion.oxcs.net.
starlink.sx: 10 mx002.dclux.xion.oxcs.net.
starlink.sx: 10 mx004.dclux.xion.oxcs.net.
starlink.sx: 10 mx003.dclux.xion.oxcs.net.
oak.sx: 10 mail.protonmail.ch.
oak.sx: 20 mailsec.protonmail.ch.
castle.sx: 20 mailsec.protonmail.ch.
castle.sx: 10 mail.protonmail.ch.
i9bet.sx: 10 alt3.aspmx.l.google.com.
i9bet.sx: 10 alt4.aspmx.l.google.com.
i9bet.sx: 5 alt2.aspmx.l.google.com.
i9bet.sx: 1 aspmx.l.google.com.
i9bet.sx: 5 alt1.aspmx.l.google.com.
mini.sx: 10 custmx.cscdns.net.
roth.sx: 50 mx0.roth.sx.
schweiz.sx: 10 mx2.hostinger.com.
schweiz.sx: 5 mx1.hostinger.com.
resume.sx: 20 echo-relay.mxrouting.net.
resume.sx: 10 echo.mxrouting.net.
lotus.sx: 10 alt3.aspmx.l.google.com.
lotus.sx: 5 alt1.aspmx.l.google.com.
lotus.sx: 10 alt4.aspmx.l.google.com.
lotus.sx: 1 aspmx.l.google.com.
lotus.sx: 5 alt2.aspmx.l.google.com.
lex.sx: 10 mx003.dclux.xion.oxcs.net.
lex.sx: 10 mx004.dclux.xion.oxcs.net.
lex.sx: 10 mx002.dclux.xion.oxcs.net.
lex.sx: 10 mx001.dclux.xion.oxcs.net.
boulanger.sx: 10 mail.boulanger.sx.
isi.sx: 10 aspmx1.migadu.com.
isi.sx: 20 aspmx2.migadu.com.
owl.sx: 10 mx2.netim.net.
owl.sx: 10 mx1.netim.net.
talk.sx: 10 alt3.aspmx.l.google.com.
talk.sx: 10 alt4.aspmx.l.google.com.
talk.sx: 1 aspmx.l.google.com.
talk.sx: 5 alt1.aspmx.l.google.com.
talk.sx: 5 alt2.aspmx.l.google.com.
nas.sx: 0 nas-sx.mail.protection.outlook.com.
registry.sx: 0 registry.sx.
rdc.sx: 5 mailforward11.cloudns.net.
rdc.sx: 10 mailforward12.cloudns.net.
majesty.sx: 10 alt4.aspmx.l.google.com.
majesty.sx: 1 aspmx.l.google.com.
majesty.sx: 5 alt1.aspmx.l.google.com.
majesty.sx: 10 alt3.aspmx.l.google.com.
majesty.sx: 5 alt2.aspmx.l.google.com.
lars.sx: 100 mxlb.ispgateway.de.
bam.sx: 10 mx001.dclux.xion.oxcs.net.
bam.sx: 10 mx002.dclux.xion.oxcs.net.
bam.sx: 10 mx003.dclux.xion.oxcs.net.
bam.sx: 10 mx004.dclux.xion.oxcs.net.
ledger.sx: 10 spool.mail.gandi.net.
ledger.sx: 50 fb.mail.gandi.net.
sok.sx: 10 mx01.mail.icloud.com.
sok.sx: 10 mx02.mail.icloud.com.
tui.sx: 0 .
pfp.sx: 50 mx3.zoho.com.
pfp.sx: 10 mx.zoho.com.
pfp.sx: 20 mx2.zoho.com.
gomovies.sx: 10 alltheemails.com.
catalyst.sx: 10 mx2.startmail.com.
catalyst.sx: 10 mx1.startmail.com.
volunteer.sx: 5 alt1.aspmx.l.google.com.
volunteer.sx: 1 aspmx.l.google.com.
volunteer.sx: 5 alt2.aspmx.l.google.com.
volunteer.sx: 10 alt3.aspmx.l.google.com.
volunteer.sx: 10 alt4.aspmx.l.google.com.
tmp.sx: 94 isaac.mx.cloudflare.net.
tmp.sx: 1 amir.mx.cloudflare.net.
tmp.sx: 84 linda.mx.cloudflare.net.
metanet.sx: 0 metanet-sx.mail.protection.outlook.com.
xss.sx: 10 mxb.mailgun.org.
xss.sx: 5 mxa.mailgun.org.
arw.sx: 0 .
abu.sx: 10 void.blackhole.mx.
jmc.sx: 20 mailsec.protonmail.ch.
jmc.sx: 10 mail.protonmail.ch.
ward.sx: 20 in2-smtp.messagingengine.com.
ward.sx: 10 in1-smtp.messagingengine.com.
leaf.sx: 10 mx2.netim.net.
leaf.sx: 10 mx1.netim.net.
grantthornton.sx: 10 custmx.cscdns.net.
camgirls.sx: 1 _dc-mx.861576a44620.camgirls.sx.
decathlon.sx: 10 custmx.cscdns.net.
localhost.sx: 20 alt2.aspmx.l.google.com.
localhost.sx: 20 alt1.aspmx.l.google.com.
localhost.sx: 50 aspmx3.googlemail.com.
localhost.sx: 1 aspmx.l.google.com.
localhost.sx: 50 aspmx2.googlemail.com.
cysmos.sx: 10 mx1.netim.net.
cysmos.sx: 10 mx2.netim.net.
schwarz.sx: 0 schwarz-sx.mail.protection.outlook.com.
hypno.sx: 20 mx2.emailsrvr.com.
hypno.sx: 10 mx1.emailsrvr.com.
tribe.sx: 10 mailfilter.hostnet.nl.
flix.sx: 10 park-mx.above.com.
snowflake.sx: 1 SMTP.GOOGLE.COM.
crackstreams.sx: 10 park-mx.above.com.
ggs.sx: 13 route1.mx.cloudflare.net.
ggs.sx: 28 route2.mx.cloudflare.net.
