LEASEWEB SINGAPORE PTE. LTD.	AMAZON-02 (AS16509)	18
GMO Internet Group, Inc.	GMO Internet Group, Inc. (AS7506)	84
PT JC Indonesia	PT Lintas Data Multimedia (AS139449)	1
CLOUDFLARENET	PT Cloud Hosting Indonesia (AS136052)	257
registrar-servers.com	LEASEWEB-USA-WDC (AS30633)	1
Contabo GmbH	Contabo GmbH (AS51167)	13
devivace.com	GOOGLE-CLOUD-PLATFORM (AS396982)	2
co.id	PT Semut Data Indonesia (AS139457)	3
liqu.id	DIGITALOCEAN-ASN (AS14061)	5
co.id	UNIFIEDLAYER-AS-1 (AS46606)	2
AMAZON-02	OVH SAS (AS16276)	335
registrar-servers.com	GOOGLE-CLOUD-PLATFORM (AS396982)	58
hostingpangeran.com	PT Cloud Teknologi Nusantara (AS137331)	11
domainesia.com	OVH SAS (AS16276)	21
PT Infinys System Indonesia	PT Infinys System Indonesia (AS58397)	171
connectindo.net	PT Berkah Solusi Teknologi Informasi (AS135450)	11
rochendns.com	AMAZON-02 (AS16509)	3
interaksi.id	CV Andhika Pratama Sanggoro (AS141892)	1
PT Cloud Hosting Indonesia	UpCloud Ltd (AS202053)	40
CLOUDFLARENET	GOOGLE (AS15169)	484
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	22
dnspod.com	Tencent Building, Kejizhongyi Avenue (AS132203)	3
CLOUDFLARENET	PT. EXABYTES NETWORK INDONESIA (AS136170)	72
AMAZON-02	Contabo Asia Private Limited (AS141995)	1
hostgator.com	Hetzner Online GmbH (AS24940)	8
andalanhosting.net	Akamai Connected Cloud (AS63949)	7
rumahweb.biz	PT Infinys System Indonesia (AS58397)	9
PT. RACKH LINTAS ASIA	PT. RACKH LINTAS ASIA (AS135636)	6
O2switch SAS	O2switch SAS (AS50474)	7
net.id	PT Mora Telematika Indonesia (AS131111)	3
CLOUDFLARENET	Mammoth Media Pty Ltd (AS133159)	1
co.id	JETCOMS-ID Autonomous system (AS17671)	124
MICROSOFT-CORP-MSN-AS-BLOCK	NETACTUATE (AS36236)	1
andiglobalsoft.com	PRIVATESYSTEMS (AS63410)	1
AMAZON-02	WHG Hosting Services Ltd (AS36454)	13
indowebsite.net	PT. Tujuh Ion Indonesia (AS136107)	212
rumahweb.biz	GOOGLE-CLOUD-PLATFORM (AS396982)	56
domainesia.com	PT Deneva (AS138115)	64
PT Angkasa Komunikasi Global Utama	PT Cyberindo Aditama (AS4787)	8
mysrsx.biz	GOOGLE (AS15169)	72
PONYNET	WEBHOSTINGHOLDINGS (AS965)	25
CLOUDFLARENET	xTom Pty Ltd (AS8888)	26
netim.net	OVH SAS (AS16276)	7
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	55
parklogic.com	Akamai Connected Cloud (AS63949)	94
CLOUDFLARENET	PT Ikubaru Indonesia (AS135444)	12
sedoparking.com	SEDO GmbH (AS47846)	227
LIQUIDWEB	LIQUIDWEB (AS32244)	4
jetorbit.net	PT Jetorbit Teknologi Indonesia (AS141584)	44
PT Cloud Hosting Indonesia	OVH SAS (AS16276)	105
arenhost.com	CV Atha Media Prima (AS139989)	13
CLOUDFLARENET	AS-VULTR (AS20473)	185
