salt.je: 10 alt3.aspmx.l.google.com.
salt.je: 1 aspmx.l.google.com.
salt.je: 5 alt1.aspmx.l.google.com.
salt.je: 10 alt4.aspmx.l.google.com.
work.je: 0 work-je.mail.protection.outlook.com.
cube.je: 0 mail.cube.je.
tower.je: 1 tower-je.mail.protection.outlook.com.
physio.je: 0 physio-je.mail.protection.outlook.com.
420.je: 10 sitemail.homenet.je.
falcon.je: 0 falcon-je.mail.protection.outlook.com.
ccc.je: 1 aspmx.l.google.com.
ccc.je: 5 alt2.aspmx.l.google.com.
ccc.je: 5 alt1.aspmx.l.google.com.
ccc.je: 10 alt3.aspmx.l.google.com.
ccc.je: 10 alt4.aspmx.l.google.com.
jar.je: 10 mailhub.gov.je.
jar.je: 10 mailhub01.gov.je.
baker.je: 1 aspmx.l.google.com.
baker.je: 10 aspmx3.googlemail.com.
baker.je: 5 alt1.aspmx.l.google.com.
baker.je: 10 aspmx2.googlemail.com.
baker.je: 5 alt2.aspmx.l.google.com.
marketing.je: 0 marketing-je.mail.protection.outlook.com.
cocacola.je: 10 ns3-old.ko.com.
daniel.je: 40 aspmx2.googlemail.com.
daniel.je: 30 alt2.aspmx.l.google.com.
daniel.je: 50 aspmx3.googlemail.com.
daniel.je: 10 aspmx.l.google.com.
daniel.je: 20 alt1.aspmx.l.google.com.
intrepid.je: 5 alt2.aspmx.l.google.com.
intrepid.je: 1 aspmx.l.google.com.
intrepid.je: 10 alt3.aspmx.l.google.com.
intrepid.je: 10 alt4.aspmx.l.google.com.
intrepid.je: 5 alt1.aspmx.l.google.com.
lv.je: 0 lv-je.mail.protection.outlook.com.
emotion.je: 0 localhost.
levels.je: 1 smtp.google.com.
wellness.je: 5 alt1.aspmx.l.google.com.
wellness.je: 10 alt3.aspmx.l.google.com.
wellness.je: 10 alt4.aspmx.l.google.com.
wellness.je: 1 aspmx.l.google.com.
wellness.je: 5 alt2.aspmx.l.google.com.
orbit.je: 0 orbit-je.mail.protection.outlook.com.
optimus.je: 0 optimus-je.mail.protection.outlook.com.
bento.je: 5 alt1.aspmx.l.google.com.
bento.je: 10 alt3.aspmx.l.google.com.
bento.je: 5 alt2.aspmx.l.google.com.
bento.je: 10 alt4.aspmx.l.google.com.
bento.je: 1 aspmx.l.google.com.
sme.je: 5 ALT1.ASPMX.L.GOOGLE.COM.
sme.je: 5 ALT2.ASPMX.L.GOOGLE.COM.
sme.je: 10 ASPMX2.GOOGLEMAIL.COM.
sme.je: 10 ASPMX3.GOOGLEMAIL.COM.
sme.je: 5 ASPMX.L.GOOGLE.COM.
karma.je: 20 alt1.aspmx.l.google.com.
