doge.ie: 19 route3.mx.cloudflare.net.
thing.ie: 0 thing.ie.
kent.ie: 10 qmail.irishdomains.com.
bel.ie: 30 sl.vpn.barryelectronics.ie.
bel.ie: 40 de.vpn.barryelectronics.ie.
bel.ie: 10 ie.vpn.barryelectronics.ie.
district.ie: 10 d311326.a.ess.de.barracudanetworks.com.
district.ie: 20 d311326.b.ess.de.barracudanetworks.com.
greenwood.ie: 0 _dc-mx.b59d4a82ee18.greenwood.ie.
pizza.ie: 5 alt2.aspmx.l.google.com.
pizza.ie: 10 aspmx2.googlemail.com.
pizza.ie: 1 aspmx.l.google.com.
pizza.ie: 5 alt1.aspmx.l.google.com.
pizza.ie: 10 aspmx3.googlemail.com.
aps.ie: 10 sirius.hosting.ie.
mode.ie: 1 aspmx.l.google.com.
mode.ie: 10 alt4.aspmx.l.google.com.
mode.ie: 10 alt3.aspmx.l.google.com.
mode.ie: 5 alt1.aspmx.l.google.com.
mode.ie: 5 alt2.aspmx.l.google.com.
xxx.ie: 10 mx1.forwardemail.net.
xxx.ie: 10 mx2.forwardemail.net.
admiral.ie: 10 .
m.ie: 10 mailgateway01.merck.de.
m.ie: 20 mailgateway02.merck.de.
grab.ie: 1 SMTP.GOOGLE.COM.
binary.ie: 20 mailsec.protonmail.ch.
binary.ie: 10 mail.protonmail.ch.
miele.ie: 30 mx03.hornetsecurity.com.
miele.ie: 20 mx02.hornetsecurity.com.
miele.ie: 10 mx01.hornetsecurity.com.
miele.ie: 40 mx04.hornetsecurity.com.
id.ie: 0 id-ie.mail.protection.outlook.com.
tess.ie: 10 .
holistic.ie: 10 aspmx2.googlemail.com.
holistic.ie: 5 alt2.aspmx.l.google.com.
holistic.ie: 10 aspmx3.googlemail.com.
holistic.ie: 1 aspmx.l.google.com.
holistic.ie: 5 alt1.aspmx.l.google.com.
panda.ie: 10 mxa-00a03a02.gslb.pphosted.com.
panda.ie: 10 mxb-00a03a02.gslb.pphosted.com.
astro.ie: 0 astro-ie.mail.protection.outlook.com.
j.ie: 10 mx1.netim.net.
j.ie: 10 mx2.netim.net.
emeis.ie: 15 emeis-ie.mail.protection.outlook.com.
blaze.ie: 10 qmail.irishdomains.com.
blaze.ie: 0 blaze-ie.mail.protection.outlook.com.
novo.ie: 30 fwd1.hosts.co.uk.
novo.ie: 30 fwd0.hosts.co.uk.
novo.ie: 30 fwd2.hosts.co.uk.
teamviewer.ie: 0 .
motivation.ie: 1 aspmx.l.google.com.
motivation.ie: 10 aspmx5.googlemail.com.
motivation.ie: 5 alt1.aspmx.l.google.com.
motivation.ie: 10 aspmx3.googlemail.com.
motivation.ie: 10 aspmx2.googlemail.com.
motivation.ie: 10 aspmx4.googlemail.com.
motivation.ie: 5 alt2.aspmx.l.google.com.
safety.ie: 0 safety-ie.mail.protection.outlook.com.
foss.ie: 80 fallback.speednames.com.
foss.ie: 10 foss-ie.mail.protection.outlook.com.
web.ie: 10 mxb.eu.mailgun.org.
web.ie: 10 mxa.eu.mailgun.org.
web.ie: 10 mail.go2.ie.
top.ie: 10 mxa-002dcd01.gslb.pphosted.com.
top.ie: 10 mxb-002dcd01.gslb.pphosted.com.
goods.ie: 10 goods-ie.mail.protection.outlook.com.
sage.ie: 0 sage-com.mail.protection.outlook.com.
provision.ie: 1 aspmx.l.google.com.
provision.ie: 5 alt1.aspmx.l.google.com.
provision.ie: 10 aspmx2.googlemail.com.
provision.ie: 10 aspmx3.googlemail.com.
provision.ie: 5 alt2.aspmx.l.google.com.
success.ie: 1 mail.success.ie.
neutral.ie: 200 maildr.unilever.com.
neutral.ie: 100 mail.unilever.com.
theone.ie: 30 alt2.aspmx.l.google.com.
theone.ie: 10 aspmx.l.google.com.
theone.ie: 40 alt3.aspmx.l.google.com.
theone.ie: 50 alt4.aspmx.l.google.com.
theone.ie: 20 alt1.aspmx.l.google.com.
matt.ie: 20 mx2.zoho.eu.
matt.ie: 10 mx.zoho.eu.
matt.ie: 50 mx3.zoho.eu.
tony.ie: 14 route2.mx.cloudflare.net.
tony.ie: 10 route1.mx.cloudflare.net.
tony.ie: 28 route3.mx.cloudflare.net.
nice.ie: 24 route3.mx.cloudflare.net.
nice.ie: 90 route2.mx.cloudflare.net.
nice.ie: 18 route1.mx.cloudflare.net.
nebula.ie: 1 smtp.google.com.
tech.ie: 10 aspmx.l.google.com.
tech.ie: 20 alt1.aspmx.l.google.com.
tech.ie: 40 alt3.aspmx.l.google.com.
tech.ie: 50 alt4.aspmx.l.google.com.
tech.ie: 30 alt2.aspmx.l.google.com.
chris.ie: 1 alltheemails.com.
philadelphia.ie: 5 mx.philadelphia.ie.cust.b.hostedemail.com.
business.ie: 30 h3.hosts247.com.
business.ie: 5 h5.hosts247.com.
business.ie: 0 business-ie.mail.protection.outlook.com.
business.ie: 20 h1.hosts247.com.
whisky.ie: 10 custmx.cscdns.net.
identity.ie: 1 identity-ie.mail.protection.outlook.com.
baxter.ie: 5 baxter-ie.mail.protection.outlook.com.
navigation.ie: 10 mail.navigation.ie.
navigation.ie: 20 gpo.iol.ie.
mart.ie: 10 alt4.aspmx.l.google.com.
mart.ie: 5 alt1.aspmx.l.google.com.
mart.ie: 5 alt2.aspmx.l.google.com.
mart.ie: 10 alt3.aspmx.l.google.com.
mart.ie: 1 aspmx.l.google.com.
fora.ie: 10 alt3.aspmx.l.google.com.
fora.ie: 5 alt1.aspmx.l.google.com.
fora.ie: 10 alt4.aspmx.l.google.com.
fora.ie: 5 alt2.aspmx.l.google.com.
fora.ie: 1 aspmx.l.google.com.
rene.ie: 1 aspmx.l.google.com.
rene.ie: 10 alt3.aspmx.l.google.com.
rene.ie: 5 alt2.aspmx.l.google.com.
rene.ie: 10 alt4.aspmx.l.google.com.
rene.ie: 5 alt1.aspmx.l.google.com.
superior.ie: 10 superior-ie.mail.protection.outlook.com.
abm.ie: 0 abm-ie.mail.protection.outlook.com.
monster.ie: 40 alt3.us.email.fireeyecloud.com.
monster.ie: 10 primary.us.email.fireeyecloud.com.
monster.ie: 30 alt2.us.email.fireeyecloud.com.
monster.ie: 20 alt1.us.email.fireeyecloud.com.
sma.ie: 30 sma-ie.mail.protection.outlook.com.
hotels.ie: 10 mail.hotels.com.
exp.ie: 0 _dc-mx.7f1c7b68517b.exp.ie.
coffee.ie: 25 aspmx.l.google.com.
coffee.ie: 25 alt1.aspmx.l.google.com.
coffee.ie: 25 alt2.aspmx.l.google.com.
coffee.ie: 25 alt3.aspmx.l.google.com.
dan.ie: 20 in2-smtp.messagingengine.com.
dan.ie: 10 in1-smtp.messagingengine.com.
ton.ie: 1 alltheemails.com.
state.ie: 10 mx0101.titan.email.
state.ie: 20 mx0102.titan.email.
nova.ie: 30 alt2.aspmx.l.google.com.
nova.ie: 40 alt3.aspmx.l.google.com.
nova.ie: 50 alt4.aspmx.l.google.com.
nova.ie: 20 alt1.aspmx.l.google.com.
nova.ie: 10 aspmx.l.google.com.
liberty.ie: 10 _dc-mx.8fa7e3701887.liberty.ie.
momentum.ie: 10 aspmx.l.google.com.
momentum.ie: 30 aspmx5.googlemail.com.
momentum.ie: 30 aspmx2.googlemail.com.
momentum.ie: 30 aspmx4.googlemail.com.
momentum.ie: 20 alt1.aspmx.l.google.com.
momentum.ie: 20 alt2.aspmx.l.google.com.
momentum.ie: 30 aspmx3.googlemail.com.
hope.ie: 10 mx3.34sp.com.
hope.ie: 10 mx4.34sp.com.
kelly.ie: 40 aspmx.l.google.com.
good.ie: 30 mail3.bb-online.co.uk.
good.ie: 10 mail1.bb-online.co.uk.
good.ie: 20 mail2.bb-online.co.uk.
pinnacle.ie: 0 pinnacle-ie.mail.protection.outlook.com.
cali.ie: 0 cali-ie.mail.protection.outlook.com.
long.ie: 0 long-ie.mail.protection.outlook.com.
we.ie: 10 mail.we.ie.
super.ie: 10 mail.super.ie.
creative.ie: 0 creative-ie.mail.protection.outlook.com.
c0.ie: 0 mail.atomicinformatics.com.
startups.ie: 20 mx20.antispam.mailspamprotection.com.
startups.ie: 30 mx30.antispam.mailspamprotection.com.
startups.ie: 10 mx10.antispam.mailspamprotection.com.
