avenue.re: 5 alt1.aspmx.l.google.com.
avenue.re: 5 alt2.aspmx.l.google.com.
puntacana.re: 10 smtp04.topdns.com.
puntacana.re: 10 smtp02.topdns.com.
puntacana.re: 10 smtp03.topdns.com.
doge.re: 1 smtp.google.com.
nim.re: 54 route3.mx.cloudflare.net.
nim.re: 52 route1.mx.cloudflare.net.
nim.re: 29 route2.mx.cloudflare.net.
ccc.re: 10 tuesday.mxrouting.net.
warehouse.re: 10 smtp04.topdns.com.
warehouse.re: 10 smtp03.topdns.com.
warehouse.re: 10 smtp02.topdns.com.
follow.re: 86 route3.mx.cloudflare.net.
follow.re: 82 route2.mx.cloudflare.net.
follow.re: 19 route1.mx.cloudflare.net.
genesis.re: 1 aspmx.l.google.com.
genesis.re: 5 alt1.aspmx.l.google.com.
genesis.re: 5 alt2.aspmx.l.google.com.
genesis.re: 10 alt4.aspmx.l.google.com.
genesis.re: 10 alt3.aspmx.l.google.com.
stories.re: 1 aspmx.l.google.com.
stories.re: 5 alt2.aspmx.l.google.com.
stories.re: 5 alt1.aspmx.l.google.com.
stories.re: 10 aspmx2.googlemail.com.
bro.re: 10 eu1.workspace.org.
8bit.re: 10 m.8bit.re.
hyp.re: 20 mx20.antispam.mailspamprotection.com.
hyp.re: 10 mx10.antispam.mailspamprotection.com.
hyp.re: 30 mx30.antispam.mailspamprotection.com.
did.re: 10 spool.mail.gandi.net.
did.re: 50 fb.mail.gandi.net.
bright.re: 5 alt2.aspmx.l.google.com.
bright.re: 1 aspmx.l.google.com.
bright.re: 10 alt3.aspmx.l.google.com.
bright.re: 5 alt1.aspmx.l.google.com.
bright.re: 10 alt4.aspmx.l.google.com.
era.re: 10 taylor.mxrouting.net.
era.re: 20 taylor-relay.mxrouting.net.
glitch.re: 10 mx1.simplelogin.co.
glitch.re: 20 mx2.simplelogin.co.
rust.re: 15 route2.mx.cloudflare.net.
rust.re: 76 route1.mx.cloudflare.net.
rust.re: 7 route3.mx.cloudflare.net.
circle.re: 57 amir.mx.cloudflare.net.
circle.re: 65 isaac.mx.cloudflare.net.
circle.re: 63 linda.mx.cloudflare.net.
dynamic.re: 10 mx.zoho.com.
dynamic.re: 5 alt2.aspmx.l.google.com.
dynamic.re: 5 alt1.aspmx.l.google.com.
dynamic.re: 10 alt3.aspmx.l.google.com.
dynamic.re: 50 mx3.zoho.com.
dynamic.re: 20 mx2.zoho.com.
dynamic.re: 10 alt4.aspmx.l.google.com.
dynamic.re: 1 aspmx.l.google.com.
hacker.re: 10 spool.mail.gandi.net.
hacker.re: 50 fb.mail.gandi.net.
colab.re: 20 alt2.aspmx.l.google.com.
colab.re: 10 aspmx.l.google.com.
colab.re: 30 aspmx2.googlemail.com.
colab.re: 20 alt1.aspmx.l.google.com.
colab.re: 30 aspmx3.googlemail.com.
eden.re: 10 mx2.indom.com.
eden.re: 10 mx1.indom.com.
truth.re: 83 route1.mx.cloudflare.net.
