=== 数据来源: uy ===
  MX: GOOGLE                           17  31.48%
  MX: ZOHO-AS                          15  27.78%
  MX: messagelabs.com                   3   5.56%
  MX: Fastmail Pty Ltd                  3   5.56%
  MX: APPLE-ENGINEERING                 3   5.56%

[NS 提供商] netim.net，域名数 52
  MX: Eurofiber France SAS             50  96.15%
  MX: holytransaction.com               1   1.92%
  MX: GOOGLE                            1   1.92%

[NS 提供商] DIMENOC，域名数 51
  MX: simplebox.uy                      1   1.96%
  MX: clubdetejido.uy                   1   1.96%
  MX: galicia.uy                        1   1.96%
  MX: multiserv.uy                      1   1.96%
  MX: cdm.uy                            1   1.96%

[NS 提供商] GANDI SAS，域名数 49
  MX: GANDI SAS                        46  93.88%
  MX: francemm.com                      2   4.08%
  MX: GOOGLE                            1   2.04%

[NS 提供商] unknown，域名数 49
  MX: GOOGLE                            2   4.08%
  MX: greentogo.uy                      1   2.04%
  MX: clinicaurgenterap.uy              1   2.04%
  MX: tugol.uy                          1   2.04%
  MX: posteritas.uy                     1   2.04%

[NS 提供商] wiroos.com，域名数 39
  MX: optima.uy                         1   2.56%
  MX: reservat.uy                       1   2.56%
  MX: dysa.uy                           1   2.56%
  MX: elhornero.uy                      1   2.56%
  MX: biokur.uy                         1   2.56%

[NS 提供商] stabletransit.com，域名数 38
  MX: RACKSPACE                        30  78.95%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       3   7.89%
  MX: GOOGLE-CLOUD-PLATFORM             1   2.63%
  MX: faster.uy                         1   2.63%
  MX: arga.uy                           1   2.63%

[NS 提供商] Akamai Connected Cloud，域名数 35
  MX: Akamai Connected Cloud           14  40.00%
  MX: fcomet.com                       11  31.43%
  MX: orix.uy                           1   2.86%
  MX: traetucarga.uy                    1   2.86%
  MX: vivopilates.uy                    1   2.86%

[NS 提供商] OVH SAS，域名数 35
  MX: OVH SAS                          18  51.43%
  MX: GOOGLE                            3   8.57%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       2   5.71%
  MX: mauxi.uy                          1   2.86%
  MX: tutanota.de                       1   2.86%

[NS 提供商] aliasdns.net，域名数 33
  MX: GOOGLE                            3   9.09%
  MX: rcu.uy                            1   3.03%
  MX: zigma.uy                          1   3.03%
  MX: quirostetic.uy                    1   3.03%
  MX: educa.uy                          1   3.03%

[NS 提供商] com.ar，域名数 32
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       5  15.62%
  MX: com.ar                            4  12.50%
  MX: GOOGLE                            3   9.38%
  MX: odontologo.uy                     1   3.12%
